country,temperature_celsius_mean,temperature_celsius_min,temperature_celsius_max,humidity_mean,humidity_min,humidity_max,precipitation_mm_sum,precipitation_mm_mean,wind_mph_mean,wind_mph_max,air_quality_index_mean,air_quality_index_min,air_quality_index_max
Oman,32.6005905511811,21.0,46.0,52.70669291338583,9,84,0,0.0,9.938779527559054,20.6,0.0,0,0
Pakistan,30.06923076923077,13.9,45.0,33.57988165680474,6,92,0,0.0,6.283826429980277,21.9,0.0,0,0
Palau,27.98915187376726,24.0,31.4,82.82051282051282,63,100,0,0.0,9.998027613412228,27.3,0.0,0,0
Panama,25.589682539682542,22.6,30.0,90.71626984126983,75,100,0,0.0,4.521825396825397,11.9,0.0,0,0
Papua New Guinea,26.528599605522682,21.3,30.4,84.8224852071006,66,100,0,0.0,9.38915187376726,23.0,0.0,0,0
Paraguay,20.279684418145955,5.5,32.6,63.603550295857985,18,99,0,0.0,6.1767258382643,19.7,0.0,0,0
Peru,17.16858846918489,13.7,23.6,84.23260437375745,75,92,0,0.0,5.292842942345925,11.0,0.0,0,0
Philippines,29.837278106508876,23.5,36.4,74.71005917159763,37,100,0,0.0,8.55621301775148,32.7,0.0,0,0
Poland,15.158070866141733,-5.6,35.2,63.525590551181104,19,100,0,0.0,8.918110236220471,24.2,0.0,0,0
Polônia,27.7,27.7,27.7,52.0,52,52,0,0.0,18.3,18.3,0.0,0,0
Portugal,18.717786561264823,6.1,34.1,73.02766798418972,19,100,0,0.0,9.102173913043478,25.1,0.0,0,0
Qatar,34.65838264299803,15.2,46.3,36.676528599605525,7,78,0,0.0,12.035502958579881,31.3,0.0,0,0
Romania,19.51163708086785,-3.7,40.2,52.658777120315584,14,100,0,0.0,7.6118343195266265,29.1,0.0,0,0
Russia,13.445105566218809,-10.0,32.2,63.452975047984644,21,100,0,0.0,9.209021113243761,21.7,0.0,0,0
Rwanda,24.91518737672584,16.3,31.6,53.27218934911242,14,100,0,0.0,4.597041420118343,15.0,0.0,0,0
Saint Kitts and Nevis,27.10118577075099,22.1,32.3,78.77272727272727,57,94,0,0.0,15.679249011857706,128.0,0.0,0,0
Saint Lucia,27.287351778656127,22.3,31.2,80.75098814229248,54,100,0,0.0,12.523517786561264,25.5,0.0,0,0
Saint Vincent and the Grenadines,27.57841584158416,24.5,32.0,76.28910891089109,63,89,0,0.0,15.726336633663367,28.6,0.0,0,0
Saint-Vincent-et-les-Grenadines,27.8,27.8,27.8,82.0,82,82,0,0.0,16.8,16.8,0.0,0,0
Samoa,25.601391650099405,19.4,29.2,87.26441351888668,57,100,0,0.0,13.378528827037773,35.6,0.0,0,0
San Marino,19.59742574257426,4.3,33.1,65.63960396039604,24,100,0,0.0,7.761782178217821,38.5,0.0,0,0
Saudi Arabia,34.26837944664032,10.1,46.3,14.150197628458498,3,88,0,0.0,9.859288537549407,20.6,0.0,0,0
Saudi Arabien,45.0,45.0,45.0,7.0,7,7,0,0.0,15.2,15.2,0.0,0,0
Senegal,25.443503937007872,18.2,32.3,75.31692913385827,17,100,0,0.0,12.247047244094489,25.9,0.0,0,0
Serbia,18.94674556213018,-2.8,40.7,56.374753451676526,11,100,0,0.0,7.779881656804734,26.6,0.0,0,0
Seychelles Islands,28.67041420118343,23.1,33.4,75.2051282051282,56,100,0,0.0,12.28915187376726,24.2,0.0,0,0
Sierra Leone,26.331818181818182,20.1,31.2,80.30632411067194,29,100,0,0.0,5.836166007905138,18.6,0.0,0,0
Singapore,29.506299212598428,23.1,33.4,70.80708661417323,47,100,0,0.0,8.316338582677165,19.7,0.0,0,0
Slovakia,16.451084812623275,-2.9,35.2,61.92110453648915,20,100,0,0.0,9.281065088757396,30.0,0.0,0,0
Slovenia,16.381692913385827,-3.7,34.1,67.92913385826772,33,100,0,0.0,4.359645669291338,17.4,0.0,0,0
Solomon Islands,26.66003937007874,23.4,31.3,87.53740157480316,66,100,0,0.0,6.012007874015747,13.6,0.0,0,0
Somalia,28.894280078895463,24.1,33.3,74.5680473372781,57,94,0,0.0,17.64852071005917,27.3,0.0,0,0
South Africa,21.453937007874018,8.1,34.2,42.01377952755905,5,100,0,0.0,7.557283464566929,23.0,0.0,0,0
South Korea,18.28974358974359,-10.9,36.4,66.63905325443787,16,100,0,0.0,6.56232741617357,19.9,0.0,0,0
Spain,18.85463510848126,2.0,38.7,54.798816568047336,11,100,0,0.0,6.72741617357002,26.2,0.0,0,0
Sri Lanka,29.983234714003945,24.2,33.4,75.3076923076923,39,100,0,0.0,11.1534516765286,23.5,0.0,0,0
Sudan,31.446055226824456,20.5,44.2,29.109467455621303,4,86,0,0.0,13.04723865877712,26.8,0.0,0,0
