country,location_name,year,latitude,longitude,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
Nicaragua,Managua,2025,12.1508,-86.2683,24.322097378277153,12.919850187265917,91.66666666666667,1011.2846441947565,0.05651685393258427,82.97378277153558,35.97752808988764,26.475280898876402,9.910112359550562,0.0,21.225468164794005,372.5359550561798,63.340823970037455,2.9766292134831462,9.313052434456928,10.133426966292134,13.356722846441947,1.1235955056179776,1.2921348314606742,50.90262172284644
Niger,Niamey,2024,13.518697368421051,2.1186973684210524,31.850438596491227,18.467543859649126,179.64473684210526,1012.578947368421,0.05460526315789474,40.3421052631579,17.80701754385965,32.828508771929826,9.171491228070176,6.771929824561403,23.180701754385964,359.9241228070175,48.109210526315785,1.6249342105263158,0.7119078947368421,21.927916666666665,64.99190789473684,1.7543859649122806,2.662280701754386,48.64035087719298
Niger,Niamey,2025,13.537331970260224,2.070842007434944,29.969516728624537,20.336802973977697,167.66171003717471,1012.8104089219331,0.0016356877323420074,46.35687732342007,8.371747211895912,29.858364312267657,7.8817843866171,3.7200743494423794,23.57657992565056,358.3085501858736,61.51672862453532,3.1367472118959108,0.8369702602230483,39.656710037174726,131.56526022304834,2.390334572490706,4.516728624535316,50.84014869888476
Nigeria,Abuja,2024,9.178349344978166,7.180314410480349,29.04934497816594,8.664192139737992,200.68558951965065,1013.8515283842795,0.20899563318777292,63.4235807860262,46.698689956331876,30.987336244541485,9.655458515283842,5.953275109170305,12.112227074235808,619.2864628820961,56.376419213973804,4.86085152838428,1.1975109170305678,37.62748908296943,86.90759825327511,2.087336244541485,3.930131004366812,48.60698689956332
Nigeria,Abuja,2025,9.1758,7.1808,28.033085501858736,7.256505576208179,200.27881040892194,1014.6245353159851,0.10676579925650558,68.76208178438662,38.77695167286245,29.24089219330855,8.953903345724907,4.187360594795539,8.972118959107807,658.6618959107806,71.9182156133829,11.167397769516729,2.028810408921933,56.517843866171,127.97048327137546,2.7063197026022303,5.059479553903346,50.84014869888476
North Korea,Pyongyang,2024,39.01976315789474,125.75185526315789,16.15657894736842,8.617543859649123,233.08333333333334,1013.9298245614035,0.08442982456140351,70.06140350877193,33.82017543859649,16.378947368421052,9.482456140350877,0.8991228070175439,14.87061403508772,581.9153508771931,56.31798245614035,15.342763157894737,22.427390350877193,34.39581140350877,43.58065789473684,2.2149122807017543,3.8333333333333335,48.76754385964912
North Korea,Pyongyang,2025,39.0194,125.75470000000001,16.016356877323418,13.725650557620817,238.76208178438662,1012.7397769516729,0.13137546468401487,58.84386617100372,35.2639405204461,15.881040892193308,9.702602230483272,0.6832713754646841,18.92825278810409,664.7689591078067,68.42379182156134,15.086096654275092,15.858420074349443,44.383494423791824,55.328066914498145,2.553903345724907,5.026022304832714,50.83271375464684
Norway,Oslo,2024,59.91869736842105,10.75,10.679385964912282,18.278947368421054,196.05701754385964,1010.0438596491229,0.08907894736842106,74.8157894736842,48.1140350877193,9.829824561403507,9.11140350877193,3.0328947368421053,23.198245614035088,376.7274122807018,55.99342105263158,22.753925438596493,2.664122807017544,9.211732456140352,12.402894736842105,1.2456140350877194,1.4385964912280702,48.64035087719298
Norway,Oslo,2025,59.9167,10.75,9.366542750929368,8.984386617100373,166.51301115241637,1012.553903345725,0.07769516728624534,73.14126394052045,41.46468401486989,8.317843866171003,9.220817843866172,1.5315985130111525,11.730855018587361,503.36505576208185,51.68401486988848,30.14055762081784,2.199368029739777,12.322788104089218,17.38518587360595,1.275092936802974,1.546468401486989,50.858736059479554
Oman,Muscat,2024,23.61129694323144,58.59129694323145,32.57510917030567,14.183842794759824,104.9475982532751,1004.6288209606987,0.001834061135371179,53.76855895196506,14.20524017467249,37.41091703056769,9.851528384279476,7.1183406113537115,18.344978165938866,285.06232314410477,97.79039301310044,10.583423580786025,13.023882096069869,35.637812227074235,103.64324890829694,2.2925764192139737,3.8384279475982535,48.65065502183406
